id,favorite_items
1,"[1, 3, 7]"
2,"[2, 5, 8, 20]"
3,"[4, 9, 15]"
4,"[10, 16, 23]"
5,"[1, 6, 13, 21]"
6,"[7, 14, 19, 24]"
7,"[3, 8, 12, 18]"
8,"[2, 4, 11, 22]"
9,"[5, 10, 17, 25]"
10,"[8, 14, 20, 21]"
11,"[6, 9, 13, 23]"
12,"[1, 7, 15, 22]"
13,"[3, 8, 11, 19]"
14,"[4, 12, 16, 24]"
15,"[2, 5, 10, 18]"
16,"[6, 13, 20, 25]"
17,"[7, 11, 17, 22]"
18,"[1, 9, 14, 21]"
19,"[2, 8, 15, 23]"
20,"[3, 10, 12, 24]"
21,"[5, 11, 18, 20]"
22,"[6, 13, 19, 25]"
23,"[4, 8, 16, 21]"
24,"[7, 10, 14, 22]"
25,"[2, 5, 12, 17]"
